Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Page_Integrations Dashboard/div_M_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:19,2019-03-01 09:37:20,0.141s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.111s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_(select message text)_se""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.081s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_The message was sent succe""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.625s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_(select message text)_cl""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:21,0.222s,PASSED
"rightClick(findTestObject(""Page_Integrations Dashboard/td_ADT Demo - Integrations Sup""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:21,0.108s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/span_Search Messages""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:21,0.073s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_Search Text_searchMessag""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:22,0.686s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/td_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:22,2019-03-01 09:37:23,1.008s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_MSH.12 Version ID_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.070s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_M_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.094s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.101s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_1 (1)""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.166s,PASSED
delay(60),Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:38:23,1m - 0.002s,PASSED
"com.integrationsDB.sqlConnection.connectDB(dbip, dbport, dbgrp, dbusr, dbpwd)",Chrome 72.0.3626.119,,2019-03-01 09:38:23,2019-03-01 09:38:23,0.466s,PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-01 09:38:23,2019-03-01 09:38:25,2.003s,PASSED
records = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 72.0.3626.119,,2019-03-01 09:38:25,2019-03-01 09:38:25,0.000s,PASSED
tempRecords = new java.util.ArrayList(),Chrome 72.0.3626.119,,2019-03-01 09:38:25,2019-03-01 09:38:25,0.003s,PASSED
records = com.integrationsDB.sqlConnection.executeQuery(dbqtblmain),Chrome 72.0.3626.119,,2019-03-01 09:38:25,2019-03-01 09:38:26,0.089s,PASSED
noOfColumns = 0,Chrome 72.0.3626.119,,2019-03-01 09:38:26,2019-03-01 09:38:26,0.002s,PASSED
while (records.next()),Chrome 72.0.3626.119,,2019-03-01 09:38:26,2019-03-01 09:38:26,0.051s,PASSED
for (def item : tempRecords),Chrome 72.0.3626.119,,2019-03-01 09:38:26,2019-03-01 09:38:26,0.007s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:38:26,2019-03-01 09:38:29,3.004s,PASSED
com.integrationsDB.sqlConnection.execute(dbclnfullp),Chrome 72.0.3626.119,,2019-03-01 09:38:29,2019-03-01 09:38:29,0.019s,PASSED
com.integrationsDB.sqlConnection.execute(dbclntblmain),Chrome 72.0.3626.119,,2019-03-01 09:38:29,2019-03-01 09:38:29,0.021s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:38:29,2019-03-01 09:38:32,3.003s,PASSED
com.integrationsDB.sqlConnection.closeDatabaseConnection(),Chrome 72.0.3626.119,,2019-03-01 09:38:32,2019-03-01 09:38:32,0.035s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:38:32,2019-03-01 09:38:35,2.974s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/a_Logout (1)""))",Chrome 72.0.3626.119,,2019-03-01 09:38:35,2019-03-01 09:38:35,0.282s,PASSED
closeBrowser(),Chrome 72.0.3626.119,,2019-03-01 09:38:35,2019-03-01 09:38:36,0.655s,PASSED
